Nom du champ,publiccode.yml,ecosyste.ms,/public
authors/authorsFile/distinctAuthorsCount (optionnel),-,-,
authors/authorsFile/distinctOrganizationsCount (optionnel),-,-,
creationDate (obligatoire),-,repository.created_at,creation_date
description/[lang]/documentation (obligatoire),description/[lang]/documentation (optionnel),-,-
description/[lang]/shortDescription (obligatoire),description/[lang]/shortDescription (obligatoire),repository.description,description
fundedBy (obligatoire),-,-,-
landingUrl (optionnel),landingUrl (optionnel),homepage,
latestCommitDate (optionnel),-,repository.pushed_at,
latestRelease/date (optionnel),releaseDate (obligatoire),latest_tag_published_at,
latestRelease/version (optionnel),softwareVersion (optionnel),latest_tag_name,
latestTestedInstallationDate (obligatoire),-,-,-
lastUpdated,-,-,-
legal/authorsFile (optionnel),-,repository.metadata.files.authors,
legal/license (obligatoire),legal/license(obligatoire),repository.license,-
logo (optionnel),logo (optionnel),repository.icon_url,
maintenance/contacts (obligatoire),maintenance/contacts (obligatoire dans certains cas),-,-
maintenance/type (obligatoire),maintenance/type (obligatoire),-,
metadataFiles/changelog (optionnel),-,repository.metadata.files.changelog,
metadataFiles/codeOfConduct (optionnel),-,repository.metadata.files.code_of_conduct,
metadataFiles/contributing (optionnel),-,repository.metadata.files.contributing,
metadataFiles/governance (optionnel),-,repository.metadata.files.governance,
metadataFiles/license (obligatoire),-,repository.metadata.files.license,license
metadataFiles/readme (obligatoire),-,repository.metadata.files.readme,-
name (obligatoire),name (obligatoire),repository.full_name,
packages (optionnel),-,packages.ecosystem,
publiccodeYmlVersion (obligatoire),publiccodeYmlVersion (obligatoire),-,-
roadmap (optionnel),roadmap (optionnel),repository.metadata.files.roadmap,
awesomeShield,-,-,-
softwareType (obligatoire),softwareType (obligatoire),-,-
url (obligatoire),url (obligatoire),url,
usedBy (obligatoire),usedBy (optionnel),-,-
